Designator,Mid X,Mid Y,Rotation,Layer
BT1,134.7615,-108.0,270.0,bottom
BT2,195.05,-106.35,270.0,bottom
C1,134.6,-99.7,180.0,top
C10,182.4,-130.555,180.0,top
C11,182.4,-133.755,0.0,top
C12,182.4,-132.155,0.0,top
C13,198.95,-113.55,0.0,top
C14,198.95,-119.55,0.0,top
C15,203.7,-112.25,270.0,top
C16,129.4,-113.0,0.0,top
C17,137.525,-110.965,180.0,top
C18,137.525,-109.265,180.0,top
C19,141.6,-118.0,0.0,top
C2,142.9,-129.2,0.0,top
C20,143.6,-112.9,270.0,top
C21,148.4,-115.975,90.0,top
C24,194.375,-92.2,180.0,top
C25,157.7,-101.9,180.0,top
C26,165.2,-101.9,180.0,top
C27,172.7,-101.9,180.0,top
C28,180.3,-101.9,180.0,top
C29,205.4,-101.2,0.0,top
C3,142.9,-130.8,0.0,top
C30,204.65,-108.3,270.0,top
C32,205.25,-112.25,90.0,top
C33,211.2,-116.0,90.0,top
C4,155.5,-127.0,180.0,top
C5,147.05,-101.9,180.0,top
C6,141.15,-104.8,90.0,top
C7,150.4,-104.9,90.0,top
C8,152.0,-104.9,90.0,top
C9,182.4,-127.355,180.0,top
D1,145.8,-95.6,90.0,top
D10,157.75,-104.25,0.0,top
D11,165.25,-104.25,0.0,top
D12,172.75,-104.25,0.0,top
D13,180.25,-104.25,0.0,top
D14,206.0,-104.7,270.0,top
D15,207.05,-112.05,90.0,top
D16,201.9,-112.1,90.0,top
D2,145.8,-93.28,270.0,top
D3,150.8875,-134.3,180.0,top
D4,150.875,-132.7,180.0,top
D5,130.85,-101.51,0.0,top
D6,122.6,-111.2,180.0,top
D7,122.6125,-112.9,180.0,top
D8,122.6,-114.6,180.0,top
D9,122.5875,-116.3,180.0,top
F1,134.6,-101.52,180.0,top
J1,139.2,-94.375,180.0,top
J2,169.0,-101.08,180.0,top
L1,149.325,-108.5,0.0,top
L2,141.325,-112.9,90.0,top
LS1,212.5,-104.7,0.0,top
Q1,130.85,-104.91,270.0,top
Q3,202.4,-104.7,90.0,top
R1,131.5,-92.875,270.0,top
R10,182.4,-128.955,180.0,top
R11,155.5,-116.3,0.0,top
R12,155.5,-119.5,180.0,top
R13,155.5,-121.1,180.0,top
R14,155.5,-117.9,0.0,top
R15,182.4,-125.75,180.0,top
R16,214.8,-118.9,0.0,top
R17,214.8,-113.2,180.0,top
R19,129.4,-111.4,0.0,top
R2,131.5,-96.275,90.0,top
R20,129.4,-114.6,0.0,top
R21,129.4,-116.2,0.0,top
R23,141.6,-116.365,0.0,top
R24,145.2,-112.875,270.0,top
R25,146.8,-112.875,90.0,top
R26,148.4,-112.875,90.0,top
R27,146.8,-115.975,90.0,top
R3,155.5,-130.2,0.0,top
R30,201.7,-93.8,180.0,top
R31,194.375,-93.8,180.0,top
R32,194.375,-95.4,0.0,top
R33,182.4,-124.15,0.0,top
R34,201.45,-108.3,90.0,top
R35,203.05,-108.3,90.0,top
R36,156.0,-114.0,0.0,top
R37,182.4,-122.6,0.0,top
R38,182.4,-121.0,0.0,top
R39,169.0,-114.0,0.0,top
R4,155.5,-128.6,0.0,top
R40,182.0,-114.0,0.0,top
R41,211.7,-113.2,0.0,top
R42,211.6,-118.9,0.0,top
R5,147.775,-134.3,0.0,top
R6,147.775,-132.7,0.0,top
R7,134.6,-103.4,0.0,top
R8,142.75,-104.8,90.0,top
R9,144.35,-104.8,270.0,top
SW1,122.1,-102.8,270.0,top
SW2,136.0,-139.9,180.0,top
SW3,202.0,-139.9,180.0,top
SW5,156.0,-110.1,180.0,top
SW6,202.0,-128.6,270.0,top
SW7,169.0,-110.1,180.0,top
SW8,182.0,-110.1,180.0,top
U1,142.9,-126.0,180.0,top
U2,149.375,-126.325,180.0,top
U3,147.05,-104.9,90.0,top
U4,169.0,-126.155,180.0,top
U5,204.35,-116.55,0.0,top
U6,135.15,-115.0,0.0,top
U8,213.8,-115.9,270.0,top
Y1,198.65,-116.55,90.0,top
