Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,0.1uF,
"C10, C3, C7, C9",0603,4,22μF,
C2,0603,1,47uF,
C4,0603,1,22pF/50V,
C5,0603,1,0.1μF/50V,
C6,0603,1,4.7μF/50V,
C8,0603,1,22pF,
"D1, D2",D_SOD-323,2,1N5819WS,
J1,Con_Pin_1x09_3mm,1,Conn_01x09_Pin,
L1,1008,1,10uH,
L2,1008,1,2.2μH,
Q1,TSOT-23,1,CJ2301,
"R1, R2",0603,2,3R,
"R10, R13, R5, R6, R7",0603,5,10K,
R11,0603,1,100K,
R12,0603,1,22K,
R3,0603,1,39K,
R4,0603,1,180R,
R8,0603,1,300K,
R9,0603,1,16K,
TP1,TestPoint_Pad_D1.0mm,1,TP_GND,
TP2,TestPoint_Pad_D1.0mm,1,TP_+5V,
TP3,TestPoint_Pad_D1.0mm,1,TP_+3v3,
TP4,TestPoint_Pad_D1.0mm,1,TP_+24V,
U1,TSOT-23-5,1,SGM6601YTN5G/TR,
U2,SOT-23-5,1,SY8089AAAC,
VFD1,FUTABA_8-MD-06INKM,1,Futaba_8-MD-06INKM,
