Designator,Mid X,Mid Y,Rotation,Layer
C1,134.3,-79.3,270.0,bottom
C10,114.1,-85.8,0.0,bottom
C2,115.7,-82.6,0.0,bottom
C3,126.5,-87.6,0.0,bottom
C4,131.85,-80.1,180.0,bottom
C5,129.4,-79.3,90.0,bottom
C6,127.5,-79.3,90.0,bottom
C7,120.925,-90.2,180.0,bottom
C8,114.1,-89.0,180.0,bottom
C9,114.1,-84.2,0.0,bottom
D1,185.0,-82.0,180.0,bottom
D2,124.8,-80.9,0.0,bottom
J1,152.0,-94.0975,180.0,top
L1,124.7,-84.525,90.0,bottom
L2,117.6,-84.8,0.0,bottom
Q1,119.6,-81.0,270.0,bottom
R1,184.0,-79.3,270.0,bottom
R10,117.6,-91.9,0.0,bottom
R11,114.1,-87.4,180.0,bottom
R12,114.1,-90.6,0.0,bottom
R13,120.9,-91.9,180.0,bottom
R2,186.0,-79.3,270.0,bottom
R3,136.2,-79.3,270.0,bottom
R4,115.7,-79.4,0.0,bottom
R5,115.7,-81.0,0.0,bottom
R6,131.7,-87.6,180.0,bottom
R7,131.7,-89.2,180.0,bottom
R8,131.0,-82.5,270.0,bottom
R9,132.7,-82.5,270.0,bottom
U1,128.4,-84.5,270.0,bottom
U2,117.6,-89.0,270.0,bottom
VFD1,152.0,-74.2495,0.0,top
